Store Name,Address,Timings,Phone Number,Latitude,Longitude
Anand Vidyanagar Road,"Croma, Anand CP House Plot no 15, Paiki, Ground, First & Second Floor, Mouje Village Anand, Vidyanagar Road, GUJARAT, Anand, 388001",11:00am-09:00pm,7069002510,22.56245686,72.96381413
Gaur City Mall,"Croma, LGF Anchor no.5, lower ground floor, Gaur mall C- 01B/GH01, Sector 04, UTTAR PRADESH, Greater Noida, 201009",11:00am-09:00PM,8929102827,28.4642903,77.533062
Croma Ratlam Do Batti Chowk,"Ground floor, First Floor & Second Floor, Anklesaria Junction, Do Batti Chowk, New Road, Ratlam, 457001",11:00am-09:00PM,7000879545,23.3311044,75.0360846
Croma Ahmedabad Zundal,"Sharan Circle Hub, Opp. DCIS BRTS Bust Stop, Zundal Gujarat, Ahmedabad, 382424",11:00am - 09:00pm,9978989456,23.1120777,72.59104878
Croma RAJKOT Madhapar,"Viral Heights, 150 ft. Ring Road, Madhapar, Gujarat, RAJKOT, 360006",11:00am-09:00pm,9712929098,22.32382751,70.76833363
Croma Delhi Pacific Mall,"Shop No 14-15, First Floor, Pacific Mall, Najafgarh Road, Tagore Garden, Tilak Nagar, New Delhi, 110018",11:00am-10:00pm,8588805513,28.59747255,77.1802799
Croma Latur,"Upper Ground & First Floor Mastan Heights No. 259, Ambajogai - Latur Rd, near Cocsit College, Latur, Maharashtra 413512, LATUR, 413512",11:00am-09:00pm,18005727662,18.3982273,76.5625913
Croma JVA PUNE,"Croma, JVA Mall, Plot-B, Opp. Kakade City, At Hingane Bk, Karve Nagar, PUNE, 411052",11:00am - 09:00pm,9967342040,18.4894205,73.821347
Croma Lucknow Alambagh,"Shri Pratap Mall, Opp. Phoenix United Mall, Plot No- KBC-6, Sector B, LDA, Kanpur Road, Alambagh, Lucknow, 226012",11:00am-09:00PM,Not available,26.8013146,80.8955995
Delhi Civil Line,"21/31, Corner Plot Marked H, Mall Road, Civil Lines, NEW DELHI, 110054",11:00am-09:00PM,18005727662,28.6138954,77.2090057
Croma Kochi Vytilla Bypass Road,"Sy No, 431/5-5, 431/5-4, 431/5-3, 431/5-2, in the building Kattakkakam, Opposite to Hyundai showroom, Bypass Road, Vytila, KOCHI, 682034",11:00am - 09:00pm,8147673530,9.9800645,76.23383649
Croma Udaipur RK Circle,"Plot No 1, R.K Circle, Udaipur, 313001",11:00am-09:00pm,7065071270,24.578721,73.6862571
Croma Surendranagar Upasna Circle,"Millennium II Complex, Near Upasana Circle, LIC Society, Wadhwan, GUJARAT, Surendranagar, 363002",11:00am-09:00pm,9099010949,22.7028011,71.6723933
Croma Jaipur Vaishali Nagar,"Ground & First Floor, Next to Angeethi Restaurant, Opp. Gurudwara sri Guru nanak Darbar, Vaishali nagar, Jaipur, 302021",11:00am-09:00pm,Not available,26.9011858,75.7363862
Croma Science City Ahmedabad,"Hir Asha Square, S.P. Ring Road, Bhadaj Circle, Bhadaj, Ahmedabad, Gujarat, Ahmedabad, 380060",11:00am-09:30pm,7069200350,23.08927878,72.50966206
Croma Gurugram Sec 12,"Croma, A Tata Enterprise 241/2, Old Delhi Road, Opposite Country Inn Hotel, Gurugram, 122001",11:00am-09:00pm,Not available,28.4646148,77.0299194
Croma Guntur Lakshmipuram,"Croma, No. 3-28-19/4,Brundavan Gardens, OPP. Spencer’s, Lakshmipuram Main Road, Guntur, Andhra Pradesh, Guntur, 522006",11:00am-09:00pm,6364880191,16.31392831,80.41810625
Mumbai Kalyan West,"Croma Kalyan, Gurudev Darshan building, Gaikar Pada, Adharwadi road, Kalyan west, Maharashtra, 421301",11:00am-09:30pm,7506716516,19.2569646,73.12664671
Croma Delhi DLF Avenue Mall,"Croma A Tata Enterprise M-101 A, First Floor, DLF Avenue Mall, Saket, District Centre New Delhi, New Delhi, 110017",11:00am-09:00PM,8447414922,28.53870725,77.28689606
Croma Guntur Tadepalle,"Ground and First Floor, D.No.12-459/11, Dvr Complex, Beside Doctors Plaza Tadepalle, Guntur, 522501",11:00am-09:00PM,Not available,16.47465463,80.61134202
Croma Pune Chakan,"Vishal Capital, 1st Floor No. Sr 1 to 4, 2nd Floor No. SR-101 to 104, Gat no.1638 & 1648, Pune-Nashik Highway Next to Chakan Petrol Depot, Chakan, Talkhed, Pune, 410501",11:00am-09:00pm,Not available,18.7484989,73.8602592
Croma Lucknow Vibhuti Khand,"Plot no A-1, Urbanac Business Park, Vibhuti Khand, Gomti Nagar, Lucknow, 226010",11:00am-09:00PM,7290045495,26.8528761,80.9988505
Croma Sinhgad Road Pune ,"Showroom No. 1 & 2 on Ground floor, Monte Rosa, Sinhagad Road, Hingne Khurd, Pune, 411051",11:00am-09:00pm(Operational all days),8976810427,18.4796701,73.8250995
Croma Zirakpur Singhpura Village ,"Singhpura Village, Dhillon Plaza, next to Burger king , (Chandigarh-Ambala Highway), Zirakpur, 140603",11:00am-09:00pm,7290046676,30.6557257,76.8200648
Delhi Vegas Mall,"F-161, F-182 to F-198 Vegas Mall, Block-B, Plot No.6, Sector:14 (North), Dwarka, DELHI, New Delhi, 110078",11:00am-09:30pm,8929519905,28.6059739,77.0479506
Surat Vip Road," Croma, Avadh Arena,  VIP Road, Vesu, Surat, 395007",11:00am-09:00pm,18005727662,21.14307,72.781174
Kolkata Barasat,"Plot bearing No. N – 16, Jessore Road, Barasat, Kolkata, 700124",11:00am-09:00PM,6292232245,22.7240295,88.4889199
Navsari Grid Road,"Croma, Opposite P.G. Garden, Grid Road, Kabilpore, Navsari, 396424",11:00am-09:00pm,7069100361,20.9522862,72.9547023
Croma Hosur Bagalur,"75/15, Bagalur Road, Opposite to pantaloons, Hosur, Hosur, 635109",11:00am-09:00pm,8867703202,12.7328844,77.8309478
Vizag Sripuram,"Ground & First floor, MVR # 10-1-39/B&C Waltair Uplands (Opp Rock Park) Siripuram Junction, Visakhapatnam, ANDHRA PRADESH, Chengalpattu, 530020",11:00am-09:00pm,6366766602,17.71850691,83.30328048
Mangalore Mak Mall,"MAK MALL, Kankanady, KARNATAKA, Mangalore, 575002",11:00am-09:00pm,7899933311,12.8696153,74.86606
Surat Parvat Patiya,"Croma Store, Opposite Amaazia Water Park, Parvat Patiya, GUJARAT, Surat, 395010",11:00am-09:00pm,7575006719,21.20068332,72.87447254
Bangalore Hennur Road,"Indraprastha, Survey Number 11, Gubbi Cross, Hennur Bagalur Road, KARNATAKA, Bangalore, 560077",11:00am-09:00pm,6366386650,13.053862,77.6463964
Nashik Nashik Road,"Pushpa Park,Inox Signal, Nashik Pune Highway, Nashik, 422011",11:00am-08:30pm,9607941947,19.9888943,73.7998307
Hyderabad Karmanghat,"Ground floor, Shubham Palace, Chaitanyapuri Main Rd, Srinidhi Colony, Karmanghat, Hyderabad, 500079",11:00am-09:00pm,6366915155,17.3410061,78.5329747
Raipur Vip Chowk,"Ground and First Floor, Currency Tower, GE road, Infront, VIP Rd,, in front of The Triton hotel, Chowk, Vishal Nagar, CHHATTISGARH, Raipur, 492001",11:00am-09:00pm,8929626258,21.238695,81.6509972
Rajkot Nana Mawa Chowk,"RK prime, Next to Silver Heights, Nana Mava Chowk, GUJARAT, Rajkot, 360005",11:00am-09:00pm,7069100323,22.28145629,70.76158388
Gurugram Worldmark 2,"WORLDMARK 2-A212 Part of Ground & First Floor, Wolrdmark, Gurugram, Village Maidawas Sector 65, District Gurugram, HARYANA, Gurgaon, 122018",11:00am-09:00pm,8929564799,28.2936901,77.1716061
Mumbai Kurla Lbs Marg,"Ground floor, Global One, Near Phoenix Market city, LBS Marg, Kurla West, MAHARASHTRA, Mumbai, 400070",11:00am-09:00pm,7506703634,19.0686026,72.876583
Kota Dakaniya Station Road,"Croma, 1-4 Dakaniya station road, Road no-1 indraprastha industrial area, RAJASTHAN, Kota, 324005",11:00am-09:00pm,18005727662,25.14680566,75.8473646
Salem Bharathi Street,"Croma Salem Castle, plot no: A/4, Bharathi Street, Swarnapuri , Salem-636004, TAMIL NADU, Salem, 636004",11:00am-09:00pm,7305012108,11.68039818,78.137104
Croma OP road Vadodara,"CROMA, Pancham Plus Near Tube Company, Old Padra Road, GUJARAT, Vadodara, 390012",11:00am-09:00pm,7069009145,22.2890079,73.16445
Kolkata Green Chinar,"Green Chinar, Near City Center II, Major Arterial Road, Noapara P.O. Rajarhat, Dash Drone, WEST BENGAL, Kolkata, 700157",11:00am-09:00PM,Not available,22.56094605,88.4104336
Lucknow Aliganj,"Plot No.5, Sector E, Opposite Kendriya Bhawan Near Purania Chauraha,, Aliganj, Lucknow, UTTAR PRADESH, Lucknow, 226024",11:00am-09:00PM,8929991523,26.8498422,80.96715366
Rajahmundry Rtc Complex Road,"R.K. Plaza, Opp. Reliance Petrol Pump, Morampudi Road, Rajamundhry, 533103",11:00am-09:00pm,9606688013,17.00679903,81.78688113
Pune Katraj,"Showroom no 1, 2 & 3, Sugandhtara Realty, Survey No 83, Katraj Ambegaon Highway, Katraj, Pune, 411046",10:00am-09:00pm,9607486969,18.4536792,73.8563196
Ahmedabad Vastral,"Croma, Satva Icon, Vastral cross road, Sardar Patel Ring Rd, Vastral, Ahmedabad Gujarat, Ahmedabad, 382418",11:00am-09:30pm,7069009133,23.0035442,72.6476882
Mumbai Chembur,"Ground Floor, Sabari Park, Opposite R.K. Studio, Ghatla, Sion Trombay road, Chembur, Mumbai, 400071",11:00am-09:00pm,9320141646,19.053378,72.8969517
